id,graph_density,graph_diameter,clustering_coeff,spectral_gap,assortativity,cliques,motifs,components,min_degree,max_degree,B0,B1,B2
1,1.5368421052631578,2,0.9029106858054228,27.917873795742246,-0.16296821974142667,9,"nan, nan, 174, 140",1,12,76,20,0,0
2,1.032258064516129,2,0.9409222497932175,1.8474111129762605e-13,-0.3422816650188196,11,"nan, nan, 760, 269",1,16,124,32,0,0
3,1.542857142857143,2,0.9676691729323308,43.99999999999989,-0.07854920814479704,10,"nan, nan, 129, 175",1,20,80,21,0,0
4,0.8941176470588235,2,0.873026221983046,19.994643462666616,-0.3052300905657856,7,"nan, nan, 896, 217",1,20,136,35,0,0
5,2.4615384615384617,2,0.9358974358974359,1.4210854715202004e-14,-0.1566265060240964,9,"nan, nan, 70, 119",1,24,52,14,0,0
6,0.4321556579621096,2,0.9225784933712209,207.8122460085386,-0.17980663907135955,8,"nan, nan, 1836, 319",1,16,248,63,0,0
7,4.0,1,1.0,7.105427357601002e-15,,12,"nan, nan, 0, 220",1,44,44,12,0,0
8,2.4,2,0.9384615384615385,4.263256414560601e-14,-0.1818181818181813,9,"nan, nan, 84, 140",1,28,56,15,0,0
9,4.0,1,1.0,1.4210854715202004e-14,,18,"nan, nan, 0, 816",1,68,68,18,0,0
10,4.0,1,1.0,7.105427357601002e-15,,12,"nan, nan, 0, 220",1,44,44,12,0,0
11,2.3030303030303028,2,0.9575757575757576,15.999999999999943,0.03686635944700303,8,"nan, nan, 28, 66",1,16,44,12,0,0
12,4.0,1,1.0,0.0,,20,"nan, nan, 0, 1140",1,76,76,20,0,0
13,2.8205128205128207,2,0.9190365190365191,8.526512829121202e-14,-0.040669856459327414,10,"nan, nan, 55, 132",1,16,48,13,0,0
14,2.526315789473684,2,0.917430990062569,1.1368683772161603e-13,-0.17230601008399593,12,"nan, nan, 238, 391",1,40,76,20,0,0
15,0.40375586854460094,2,0.9447861410889578,239.9481133422127,-0.16728455652564678,9,"nan, nan, 2373, 448",1,16,284,72,0,0
16,4.0,1,1.0,0.0,,20,"nan, nan, 0, 1140",1,76,76,20,0,0
17,3.2156862745098036,2,0.9142156862745097,2.842170943040401e-14,-0.25228084093613873,13,"nan, nan, 210, 471",1,44,68,18,0,0
18,2.5454545454545454,2,0.9272727272727272,0.0,-0.18644067796610064,8,"nan, nan, 48, 76",1,20,44,12,0,0
19,1.3333333333333333,2,0.9269497272593248,40.00000000000009,-0.2104060913705585,6,"nan, nan, 132, 79",1,20,72,19,0,0
20,0.8966183574879227,2,0.9037439613526569,8.526512829121202e-14,-0.23775316410405017,11,"nan, nan, 1767, 570",1,24,180,46,0,0
21,0.9563218390804598,2,0.9243057836161285,76.00000000000006,-0.18612472374363406,8,"nan, nan, 375, 174",1,16,116,30,0,0
22,1.5217391304347827,2,0.9529887383148253,51.99999999999984,-0.06721094648002666,11,"nan, nan, 182, 257",1,24,92,24,0,0
23,1.0216450216450217,2,0.9432900432900433,52.00000000000001,-0.2346734768332725,6,"nan, nan, 184, 70",1,16,84,22,0,0
24,1.9047619047619049,2,0.9216117216117217,27.999999999999922,-0.1820094160072136,8,"nan, nan, 67, 85",1,16,56,15,0,0
25,4.0,1,1.0,1.4210854715202004e-14,,18,"nan, nan, 0, 816",1,68,68,18,0,0
26,2.2564102564102564,2,0.8708624708624708,1.4210854715202004e-14,-0.41869918699186953,6,"nan, nan, 104, 68",1,20,48,13,0,0
27,2.2292490118577075,2,0.9789196310935442,31.999999999999936,0.30758928571428656,15,"nan, nan, 112, 539",1,32,88,23,0,0
28,1.032258064516129,2,0.9409222497932175,1.8474111129762605e-13,-0.3422816650188196,11,"nan, nan, 760, 269",1,16,124,32,0,0
29,2.4,2,0.9384615384615385,4.263256414560601e-14,-0.1818181818181813,9,"nan, nan, 84, 140",1,28,56,15,0,0
30,4.0,1,1.0,7.105427357601002e-15,,12,"nan, nan, 0, 220",1,44,44,12,0,0
31,1.1323076923076922,2,0.9298351648351648,39.91307717502363,-0.22458171774579105,8,"nan, nan, 310, 156",1,16,100,26,0,0
32,1.6820512820512818,2,0.9115845887957279,27.936116348263823,-0.09766265681907559,18,"nan, nan, 1184, 1606",1,12,156,40,0,0
33,2.5641025641025643,2,0.9347319347319348,1.4210854715202004e-14,-0.11788617886178715,9,"nan, nan, 56, 104",1,20,48,13,0,0
34,2.1,2,0.9511904761904763,27.999999999999872,-0.10333623900467812,9,"nan, nan, 62, 134",1,24,60,16,0,0
35,2.4175824175824174,2,0.9340659340659341,2.1316282072803006e-14,-0.2087912087912079,8,"nan, nan, 72, 112",1,28,52,14,0,0
36,1.6333333333333333,2,0.9577380952380952,31.999999999999986,-0.15751994248348133,8,"nan, nan, 71, 80",1,12,60,16,0,0
37,1.2467532467532467,2,0.9655844155844157,52.000000000000206,-0.16793208584922534,9,"nan, nan, 159, 128",1,12,84,22,0,0
38,2.1818181818181817,2,0.9545454545454546,20.00000000000004,-0.14782608695652188,7,"nan, nan, 30, 55",1,20,44,12,0,0
39,1.118279569892473,2,0.9387944276709571,8.526512829121202e-14,-0.25895770257708034,8,"nan, nan, 680, 261",1,24,120,31,0,0
40,1.1619047619047618,2,0.9626566416040101,55.99999999999994,-0.19860291779999295,7,"nan, nan, 149, 85",1,16,80,21,0,0
41,1.676190476190476,2,0.9256817256817257,20.000000000000014,-0.23089770354906075,6,"nan, nan, 77, 60",1,20,56,15,0,0
42,2.235294117647059,2,0.9215686274509803,7.105427357601002e-14,-0.21640789725896245,9,"nan, nan, 132, 178",1,20,64,17,0,0
43,3.3846153846153846,2,0.9160839160839161,1.4210854715202004e-14,-0.28333333333333355,10,"nan, nan, 72, 184",1,32,48,13,0,0
44,1.2163742690058479,2,0.9590643274853801,47.9999999999999,-0.2210626185958254,7,"nan, nan, 119, 69",1,12,72,19,0,0
45,2.1538461538461537,2,0.9615384615384616,23.99999999999995,-0.12345679012345893,8,"nan, nan, 42, 91",1,24,52,14,0,0
46,1.4861660079051384,2,0.9439864483342745,43.999999999999794,-0.045100932808629,12,"nan, nan, 165, 249",1,12,88,23,0,0
47,2.2,2,0.9678571428571429,24.000000000000007,0.059829059829059436,10,"nan, nan, 54, 155",1,24,60,16,0,0
48,2.358974358974359,2,0.9627039627039627,15.999999999999943,0.13749999999999996,9,"nan, nan, 32, 94",1,16,48,13,0,0
49,4.0,1,1.0,1.4210854715202004e-14,,18,"nan, nan, 0, 816",1,68,68,18,0,0
50,2.5353846153846153,2,0.897517386823174,15.384750709204354,0.2688647543273851,18,"nan, nan, 414, 965",1,32,100,26,0,0
51,0.9802371541501976,2,0.9640504423113119,63.99999999999992,-0.22876097235621315,7,"nan, nan, 191, 79",1,12,88,23,0,0
52,4.0,1,1.0,4.263256414560601e-14,,17,"nan, nan, 0, 680",1,64,64,17,0,0
53,1.5238095238095237,2,0.9523809523809523,36.00000000000002,-0.21151439299123906,6,"nan, nan, 65, 50",1,16,56,15,0,0
54,1.365079365079365,2,0.8788048552754437,2.842170943040401e-14,-0.31157118810232814,8,"nan, nan, 659, 278",1,24,108,28,0,0
55,4.0,1,1.0,7.105427357601002e-15,,12,"nan, nan, 0, 220",1,44,44,12,0,0
56,4.0,1,1.0,7.105427357601002e-15,,12,"nan, nan, 0, 220",1,44,44,12,0,0
57,2.1538461538461537,2,0.9615384615384616,23.999999999999936,-0.12345679012345893,8,"nan, nan, 42, 91",1,24,52,14,0,0
58,4.0,1,1.0,0.0,,20,"nan, nan, 0, 1140",1,76,76,20,0,0
59,2.1818181818181817,2,0.9545454545454546,19.99999999999995,-0.14782608695652188,7,"nan, nan, 30, 55",1,20,44,12,0,0
60,4.0,1,1.0,4.263256414560601e-14,,17,"nan, nan, 0, 680",1,64,64,17,0,0
61,2.1714285714285713,2,0.9648351648351648,24.0,-0.03906250000000158,9,"nan, nan, 48, 119",1,24,56,15,0,0
62,1.567251461988304,2,0.9642242862057103,39.99999999999991,-0.1200830419580431,9,"nan, nan, 104, 129",1,16,72,19,0,0
63,2.065934065934066,2,0.9120879120879122,15.999999999999964,-0.09990496555001206,8,"nan, nan, 68, 82",1,16,52,14,0,0
64,2.3030303030303028,2,0.8940836940836941,12.447055964626337,-0.15019157088122537,7,"nan, nan, 44, 58",1,20,44,12,0,0
65,4.0,1,1.0,0.0,,20,"nan, nan, 0, 1140",1,76,76,20,0,0
66,1.7523809523809526,2,0.9048188848188848,20.00000000000005,-0.2077187123109749,7,"nan, nan, 79, 67",1,16,56,15,0,0
67,1.1619047619047618,2,0.9626566416040101,55.99999999999996,-0.19860291779999295,7,"nan, nan, 149, 85",1,16,80,21,0,0
68,1.5424836601307188,2,0.9348817304699659,35.1638009211138,-0.1496899911426041,8,"nan, nan, 104, 97",1,20,68,18,0,0
69,1.5238095238095237,2,0.9523809523809523,35.99999999999997,-0.21151439299123906,6,"nan, nan, 65, 50",1,16,56,15,0,0
70,1.7904761904761906,2,0.883300659240509,27.491357399704704,-0.017905200242912703,11,"nan, nan, 201, 242",1,12,80,21,0,0
71,2.3030303030303028,2,0.9575757575757576,15.999999999999979,0.03686635944700303,8,"nan, nan, 28, 66",1,16,44,12,0,0
72,0.638477801268499,2,0.909922560702159,107.97963184611852,-0.19852491984714127,8,"nan, nan, 924, 241",1,12,172,44,0,0
73,2.3157894736842106,2,0.9752321981424149,23.999999999999943,0.3125000000000001,13,"nan, nan, 72, 321",1,24,72,19,0,0
74,1.5999999999999999,2,0.9538461538461538,32.0,-0.20107238605898087,7,"nan, nan, 63, 59",1,12,56,15,0,0
75,1.4970760233918128,2,0.9631922944616442,44.00000000000004,-0.15342960288808663,8,"nan, nan, 107, 111",1,20,72,19,0,0
76,2.2857142857142856,2,0.8697845804988662,7.105427357601002e-15,-0.2659663164915809,8,"nan, nan, 102, 94",1,20,52,14,0,0
77,4.0,1,1.0,7.105427357601002e-15,,12,"nan, nan, 0, 220",1,44,44,12,0,0
78,2.205128205128205,2,0.9592074592074591,19.999999999999936,-0.05306122448979596,8,"nan, nan, 35, 76",1,20,48,13,0,0
79,2.431372549019608,2,0.9509803921568627,0.0,-0.016393442622950498,12,"nan, nan, 120, 276",1,28,68,18,0,0
80,4.0,1,1.0,1.4210854715202004e-14,,18,"nan, nan, 0, 816",1,68,68,18,0,0
81,1.1815384615384616,2,0.9393528693528693,62.32805817239519,-0.1740751477438744,8,"nan, nan, 254, 183",1,12,100,26,0,0
82,0.5158469945355191,2,0.9258167069062253,167.9489697692054,-0.17374561052170484,12,"nan, nan, 1737, 496",1,12,240,61,0,0
83,2.2857142857142856,2,0.8697845804988662,7.105427357601002e-15,-0.2659663164915809,8,"nan, nan, 102, 94",1,20,52,14,0,0
84,4.0,1,1.0,0.0,,20,"nan, nan, 0, 1140",1,76,76,20,0,0
85,4.0,1,1.0,0.0,,20,"nan, nan, 0, 1140",1,76,76,20,0,0
86,3.3846153846153846,2,0.9160839160839161,2.842170943040401e-14,-0.28333333333333355,10,"nan, nan, 72, 184",1,32,48,13,0,0
87,2.606060606060606,2,0.8987554112554111,0.0,-0.1870686523792246,8,"nan, nan, 54, 78",1,20,44,12,0,0
88,1.7309941520467838,2,0.9314610054548137,30.498756998741214,-0.07622336613018885,10,"nan, nan, 121, 162",1,12,72,19,0,0
89,3.6952380952380954,2,0.9472527472527474,7.105427357601002e-15,-0.22612359550562572,13,"nan, nan, 72, 367",1,40,56,15,0,0
90,2.1818181818181817,2,0.9545454545454546,19.99999999999997,-0.14782608695652188,7,"nan, nan, 30, 55",1,20,44,12,0,0
91,3.3846153846153846,2,0.9160839160839161,2.842170943040401e-14,-0.28333333333333355,10,"nan, nan, 72, 184",1,32,48,13,0,0
92,2.1818181818181817,2,0.9545454545454546,19.99999999999995,-0.14782608695652188,7,"nan, nan, 30, 55",1,20,44,12,0,0
93,3.0303030303030307,2,0.8941017316017316,2.1316282072803006e-14,-0.3067798244768072,8,"nan, nan, 67, 108",1,24,44,12,0,0
94,2.1333333333333333,2,0.9257575757575758,15.99999999999995,-0.011560102301790281,10,"nan, nan, 92, 146",1,16,60,16,0,0
95,2.3736263736263736,2,0.952228327228327,15.999999999999964,0.17501833292593372,9,"nan, nan, 44, 122",1,16,52,14,0,0
96,2.1818181818181817,2,0.9545454545454546,20.000000000000004,-0.14782608695652188,7,"nan, nan, 30, 55",1,20,44,12,0,0
97,4.0,1,1.0,7.105427357601002e-15,,12,"nan, nan, 0, 220",1,44,44,12,0,0
98,0.6559714795008913,2,0.9621100713012477,107.9999999999998,-0.23187615741668594,7,"nan, nan, 475, 113",1,12,132,34,0,0
99,1.6210526315789473,2,0.8965694539378749,27.89484181363023,-0.18365508751913998,8,"nan, nan, 165, 145",1,20,76,20,0,0
100,2.795698924731183,2,0.9164442983836395,1.5631940186722204e-13,-0.17829136852527058,20,"nan, nan, 1042, 1944",1,68,120,31,0,0
101,2.415954415954416,2,0.962995522995523,27.999999999999844,0.4863038236974341,20,"nan, nan, 151, 1169",1,16,104,27,0,0
102,1.149425287356322,2,0.8625735630908044,61.09597165409034,-0.16225615221564416,10,"nan, nan, 483, 265",1,16,116,30,0,0
103,1.5555555555555556,2,0.8593285757359971,3.410605131648481e-13,-0.2403771969866401,13,"nan, nan, 1420, 833",1,28,140,36,0,0
